title,genres,original_language,release_date,popularity,budget,revenue,runtime,vote_average,vote_count,status,release_year
Malevolence,Crime|Horror|Thriller,en,2004-09-10,1.077321,450000,0,90.0,4.9,14,Released,2004.0
Maria Full of Grace,Drama|Thriller|Crime,es,2004-01-18,3.027892,0,0,101.0,6.9,101,Released,2004.0
My Summer of Love,Drama|Thriller|Romance,en,2004-08-20,3.939753,0,0,86.0,6.0,59,Released,2004.0
National Treasure,Adventure|Action|Thriller|Mystery,en,2004-11-19,58.849256,100000000,347451894,131.0,6.4,1926,Released,2004.0
New York Minute,Comedy,en,2004-05-01,10.0403,0,0,91.0,5.5,185,Released,2004.0
Night Watch,Fantasy|Action|Thriller,ru,2004-06-27,12.540624,4200000,32000000,114.0,6.3,210,Released,2004.0
November,Drama|Mystery|Thriller,en,2004-07-22,5.742359,0,0,73.0,4.9,11,Released,2004.0
On the Outs,Drama,en,2004-09-11,0.493223,0,0,86.0,5.9,6,Released,2004.0
Paparazzi,Action|Drama|Thriller,en,2004-09-03,9.149089,20000000,16605763,84.0,5.8,52,Released,2004.0
Ray,Drama|Music,en,2004-10-29,21.743321,40000000,124731534,152.0,7.2,467,Released,2004.0
Saved!,Comedy|Drama,en,2004-01-21,9.85123,0,0,92.0,6.3,147,Released,2004.0
Shall We Dance?,Drama|Romance|Comedy,en,2004-10-15,14.231899,50000000,170128460,107.0,5.9,297,Released,2004.0
Shrek 2,Adventure|Animation|Comedy|Family|Fantasy,en,2004-05-19,47.320801,150000000,919838758,93.0,6.7,2988,Released,2004.0
Steamboy,Animation|Fantasy|Science Fiction,ja,2004-07-17,9.129808,20000000,0,126.0,6.4,102,Released,2004.0
The Blue Butterfly,Adventure|Drama|Family,en,2004-02-20,1.985552,0,0,97.0,6.8,6,Released,2004.0
The Girl Next Door,Comedy,en,2004-04-09,39.784026,25000000,30411183,108.0,6.3,824,Released,2004.0
The Notebook,Romance|Drama,en,2004-06-25,55.109138,29000000,115603229,123.0,7.7,3067,Released,2004.0
The Polar Express,Adventure|Animation|Family|Fantasy,en,2004-11-10,47.323228,165000000,305875730,100.0,6.4,1474,Released,2004.0
The Princess Diaries 2: Royal Engagement,Comedy|Drama|Family|Romance,en,2004-08-06,30.002907,40000000,95149435,113.0,6.0,697,Released,2004.0
Thunderbirds,Action|Adventure|Comedy|Family|Fantasy|Science Fiction,en,2004-07-23,9.27875,57000000,28283637,95.0,4.2,91,Released,2004.0
Two Brothers,Adventure|Drama|Family,en,2004-04-07,8.884318,74500000,62172050,109.0,6.9,180,Released,2004.0
Veer-Zaara,Drama|Romance,hi,2004-11-12,3.721858,7000000,29385320,192.0,7.4,64,Released,2004.0
Wimbledon,Comedy|Romance,en,2004-09-13,16.736734,31000000,41512007,98.0,6.0,293,Released,2004.0
Win a Date with Tad Hamilton!,Comedy|Romance,en,2004-01-23,7.701041,17000000,16980098,95.0,5.5,160,Released,2004.0
An American Haunting,Horror|Thriller,en,2005-05-05,7.436315,0,0,83.0,5.3,142,Released,2005.0
Assault on Precinct 13,Thriller,en,2005-01-19,18.706504,30000000,35294470,109.0,6.0,311,Released,2005.0
Be Cool,Comedy|Crime,en,2005-03-04,18.61472,53000000,95226116,118.0,5.4,292,Released,2005.0
Boogeyman,Thriller|Horror|Drama|Mystery,en,2005-02-04,11.62423,20000000,67192859,89.0,4.6,191,Released,2005.0
Brokeback Mountain,Drama|Romance,en,2005-09-02,44.135568,14000000,178043761,134.0,7.5,1480,Released,2005.0
Coach Carter,Drama,en,2005-01-14,23.234651,30000000,76669806,136.0,7.3,496,Released,2005.0
Corpse Bride,Romance|Fantasy|Animation|Music,en,2005-09-09,43.571612,40000000,117195061,77.0,7.2,1894,Released,2005.0
Dear Wendy,Comedy|Crime|Drama|Romance,en,2005-01-22,2.597665,0,0,105.0,5.6,33,Released,2005.0
Elektra,Action|Fantasy,en,2005-01-13,28.613892,43000000,56681566,97.0,4.8,575,Released,2005.0
Harsh Times,Crime|Drama|Thriller|Action,en,2005-09-11,12.999023,2000000,5967038,120.0,6.3,197,Released,2005.0
Hostage,Mystery|Drama|Thriller|Crime,en,2005-03-09,23.663713,52000000,77944725,113.0,6.2,512,Released,2005.0
House of Wax,Horror,en,2005-04-30,17.157738,40000000,68766121,113.0,5.5,677,Released,2005.0
Hustle & Flow,Drama,en,2005-07-22,6.39503,8000000,23563727,116.0,6.9,99,Released,2005.0
King's Ransom,Comedy|Crime,en,2005-04-22,5.079017,0,0,95.0,5.1,14,Released,2005.0
Kiss Kiss Bang Bang,Action|Comedy|Crime|Mystery,en,2005-09-05,32.690038,15000000,15785148,103.0,7.2,886,Released,2005.0
Mad Hot Ballroom,Documentary|Family,en,2005-05-13,0.772668,0,0,105.0,7.2,8,Released,2005.0
Match Point,Drama|Thriller|Crime|Romance,en,2005-10-26,30.669913,15000000,85306374,124.0,7.3,1105,Released,2005.0
Mr. & Mrs. Smith,Action|Comedy|Drama|Thriller,en,2005-06-07,44.635452,110000000,478207520,120.0,6.5,2965,Released,2005.0
Must Love Dogs,Comedy|Romance,en,2005-07-21,11.120167,30000000,58405313,98.0,5.8,140,Released,2005.0
Mutual Appreciation,Drama|Comedy,en,2005-03-01,0.123068,500000,0,109.0,6.1,8,Released,2005.0
My Date with Drew,Documentary,en,2005-08-05,1.929883,0,0,90.0,6.3,16,Released,2005.0
Romance & Cigarettes,Comedy|Music|Romance,en,2005-09-13,4.056774,0,2945242,105.0,6.0,33,Released,2005.0
Saw II,Horror,en,2005-10-28,42.187986,4000000,152925093,92.0,6.3,1251,Released,2005.0
Serenity,Science Fiction|Action|Adventure|Thriller,en,2005-08-25,45.388937,39000000,38869464,119.0,7.4,1264,Released,2005.0
Sky High,Adventure|Comedy|Family,en,2005-07-29,11.041659,35000000,86369815,100.0,5.8,550,Released,2005.0
Son of the Mask,Fantasy|Comedy|Family|Adventure,en,2005-02-18,17.815595,84000000,0,94.0,3.6,338,Released,2005.0
Supercross,Action|Adventure|Drama|Romance,en,2005-08-16,3.71305,0,3102550,80.0,5.4,29,Released,2005.0
Sympathy for Lady Vengeance,Drama|Thriller,ko,2005-07-29,17.074843,0,23803308,115.0,7.4,356,Released,2005.0
The Adventures of Sharkboy and Lavagirl,Adventure|Family|Science Fiction,en,2005-06-10,12.31101,50000000,69425966,92.0,4.4,269,Released,2005.0
The Brothers Grimm,Adventure|Fantasy|Action|Comedy|Thriller,en,2005-08-26,40.138009,88000000,105316267,118.0,5.6,818,Released,2005.0
The Exorcism of Emily Rose,Crime|Drama|Horror|Thriller,en,2005-09-09,32.602868,19000000,144216468,122.0,6.3,659,Released,2005.0
The Family Stone,Comedy|Drama|Romance,en,2005-12-14,14.190837,0,0,103.0,6.2,249,Released,2005.0
The Great Raid,Action|History|War,en,2005-08-12,8.923215,80000000,10166502,132.0,6.8,91,Released,2005.0
The House of Sand,Drama,pt,2005-05-13,0.389471,0,0,115.0,6.7,9,Released,2005.0
The Interpreter,Crime|Thriller,en,2005-04-08,18.69984,80000000,162944923,128.0,6.2,392,Released,2005.0
The Pacifier,Action|Comedy|Drama|Family|Thriller,en,2005-03-04,35.4763,56000000,113006880,95.0,5.8,842,Released,2005.0
The Skeleton Key,Drama|Horror|Mystery|Thriller,en,2005-07-29,29.105407,43000000,91974818,104.0,6.4,573,Released,2005.0
The White Countess,Drama|History|Family|Romance,en,2005-10-30,4.488547,0,0,135.0,6.9,21,Released,2005.0
Thumbsucker,Comedy|Drama,en,2005-01-23,4.757625,0,1919197,96.0,6.1,67,Released,2005.0
Trust the Man,Comedy|Drama|Romance,en,2005-09-01,5.2545,9000000,0,103.0,5.5,29,Released,2005.0
Unleashed,Action|Crime,en,2005-02-02,25.999888,45000000,50871113,103.0,6.6,518,Released,2005.0
Yes,Drama|Romance,en,2005-08-05,3.677831,0,0,100.0,5.9,7,Released,2005.0
10th & Wolf,Action|Crime|Drama|Mystery|Thriller,en,2006-02-19,3.942464,8000000,143451,107.0,6.3,24,Released,2006.0
A Scanner Darkly,Animation|Science Fiction|Thriller,en,2006-05-25,26.093043,8700000,7659918,100.0,6.8,532,Released,2006.0
Barnyard,Animation|Comedy|Family,en,2006-08-04,10.430832,51000000,72779000,90.0,5.3,225,Released,2006.0
Beerfest,Comedy,en,2006-08-25,14.304444,17500000,19179969,110.0,5.8,172,Released,2006.0
Big Momma's House 2,Comedy|Crime,en,2006-01-26,17.61292,40000000,138259062,99.0,5.4,371,Released,2006.0
Black Snake Moan,Drama,en,2006-12-08,11.429607,15000000,10903846,116.0,6.6,243,Released,2006.0
Blood Diamond,Drama|Thriller|Action,en,2006-12-07,52.792678,100000000,170877916,143.0,7.3,2281,Released,2006.0
Click,Comedy|Drama|Fantasy|Romance,en,2006-06-22,41.176631,82500000,237681299,107.0,6.0,2104,Released,2006.0
Crazy Stone,Action|Comedy,zh,2006-01-01,1.68502,0,0,98.0,6.9,22,Released,2006.0
Curse of the Golden Flower,Action|Drama|Fantasy,zh,2006-12-21,9.950505,110,0,114.0,6.6,203,Released,2006.0
Date Movie,Comedy,en,2006-02-17,10.098722,20000000,48548426,83.0,3.6,222,Released,2006.0
Facing the Giants,Drama,en,2006-09-29,4.563698,100000,10178331,111.0,6.6,64,Released,2006.0
Farce of the Penguins,Comedy|Documentary,en,2006-12-01,1.963219,0,0,80.0,3.2,13,Released,2006.0
Final Destination 3,Horror|Mystery,en,2006-02-10,31.64341,25000000,117719158,93.0,5.8,974,Released,2006.0
Friends with Money,Comedy|Drama|Romance,en,2006-09-07,11.885221,6500000,13368437,88.0,5.1,128,Released,2006.0
Glory Road,Drama,en,2006-01-13,8.305085,0,42647449,118.0,7.2,144,Released,2006.0
Iraq for Sale: The War Profiteers,Documentary,en,2006-01-01,1.517771,0,0,75.0,8.0,6,Released,2006.0
Jackass Number Two,Action|Comedy|Documentary,en,2006-09-22,11.227087,11000000,72778712,95.0,6.4,298,Released,2006.0
Just My Luck,Comedy|Drama|Family|Fantasy|Romance,en,2006-05-12,22.074306,28000000,38159905,103.0,5.8,491,Released,2006.0
Lucky Number Slevin,Drama|Thriller|Crime|Mystery,en,2006-02-24,36.921445,27000000,56308881,110.0,7.4,1323,Released,2006.0
Miss Potter,Drama|Family|Romance,en,2006-12-03,8.386432,30000000,35078241,92.0,6.3,141,Released,2006.0
Mission: Impossible III,Adventure|Action|Thriller,en,2006-05-03,63.079003,150000000,397850012,126.0,6.5,2028,Released,2006.0
Monster House,Animation|Comedy|Family|Fantasy,en,2006-07-21,36.368839,75000000,140175006,91.0,6.3,874,Released,2006.0
Old Joy,Drama,en,2006-01-01,1.673208,300000,0,73.0,6.3,36,Released,2006.0
One to Another,Drama,fr,2006-07-21,4.665026,0,0,95.0,5.8,12,Released,2006.0
Over the Hedge,Comedy|Animation|Family,en,2006-04-22,36.32705,80000000,343397247,83.0,6.3,1074,Released,2006.0
Pirates of the Caribbean: Dead Man's Chest,Adventure|Fantasy|Action,en,2006-06-20,145.847379,200000000,1065659812,151.0,7.0,5246,Released,2006.0
Renaissance,Action|Animation|Science Fiction,fr,2006-03-16,9.244181,18000000,1831348,105.0,6.7,77,Released,2006.0
Rescue Dawn,Adventure|Drama|War,en,2006-09-09,17.078656,10000000,7177143,126.0,6.9,336,Released,2006.0
Saw III,Horror|Thriller|Crime,en,2006-10-27,33.124871,10000000,163876815,108.0,6.1,1071,Released,2006.0
School for Scoundrels,Comedy|Drama|Romance,en,2006-09-29,8.244324,20000000,17807569,100.0,5.6,111,Released,2006.0
Scott Walker: 30 Century Man,Documentary|Music,en,2006-10-31,0.607782,0,0,95.0,7.0,8,Released,2006.0
Severance,Horror|Comedy|Thriller,en,2006-05-19,12.898984,0,0,96.0,6.4,169,Released,2006.0
Shortbus,Romance|Drama|Comedy,en,2006-05-20,14.846001,2000000,5179037,101.0,6.3,140,Released,2006.0
Snakes on a Plane,Action|Crime|Horror|Thriller,en,2006-08-06,19.642328,33000000,62022014,105.0,5.1,497,Released,2006.0
Southland Tales,Action|Adventure|Comedy|Drama|Science Fiction|Thriller,en,2006-05-15,9.349386,17000000,374743,144.0,5.2,153,Released,2006.0
Take the Lead,Music,en,2006-03-17,8.999675,30000000,34742066,108.0,6.6,162,Released,2006.0
The Benchwarmers,Comedy,en,2006-04-07,6.74556,0,0,80.0,5.2,242,Released,2006.0
The Departed,Drama|Thriller|Crime,en,2006-10-05,63.429157,90000000,289847354,151.0,7.9,4339,Released,2006.0
The Illusionist,Fantasy|Drama|Thriller|Romance,en,2006-08-18,36.960953,40000000,86915017,110.0,7.1,1615,Released,2006.0
The Lives of Others,Drama|Thriller,de,2006-03-15,34.938177,2000000,70000000,137.0,7.9,958,Released,2006.0
The Marine,Action|Adventure|Drama|Thriller,en,2006-10-13,7.679336,20000000,22165608,92.0,5.0,163,Released,2006.0
The Namesake,Drama,en,2006-09-02,3.604863,12000000,20138836,122.0,6.8,50,Released,2006.0
The Pet,Drama|Thriller,en,2006-05-17,1.284741,0,0,94.0,5.3,3,Released,2006.0
The Texas Chainsaw Massacre: The Beginning,Horror,en,2006-10-06,21.380635,16000000,0,91.0,5.9,402,Released,2006.0
The Ultimate Gift,Romance|Drama|Family,en,2006-10-20,4.976268,0,0,114.0,6.8,78,Released,2006.0
X-Men: The Last Stand,Adventure|Action|Science Fiction|Thriller,en,2006-05-24,3.857526,210000000,459359555,104.0,6.3,3525,Released,2006.0
"You, Me and Dupree",Comedy|Romance,en,2006-07-14,18.600367,54000000,130431368,108.0,5.4,407,Released,2006.0
28 Weeks Later,Horror|Thriller|Science Fiction,en,2007-04-26,34.759855,15000000,64238440,100.0,6.5,1197,Released,2007.0
3:10 to Yuma,Western,en,2007-09-06,48.801089,55000000,70016220,122.0,6.9,1188,Released,2007.0
A Dog's Breakfast,Comedy,en,2007-03-03,2.213889,120000,0,88.0,5.9,24,Released,2007.0
Aliens vs Predator: Requiem,Fantasy|Action|Science Fiction|Thriller|Horror,en,2007-12-25,39.381913,40000000,41797066,94.0,4.9,740,Released,2007.0
Alvin and the Chipmunks,Comedy|Music|Family|Fantasy|Animation,en,2007-12-13,47.336034,60000000,361366633,92.0,5.5,1177,Released,2007.0
Aqua Teen Hunger Force Colon Movie Film for Theaters,Animation|Comedy,en,2007-04-13,1.453146,0,0,86.0,6.5,35,Released,2007.0
Atonement,Drama|Romance,en,2007-08-29,33.369305,30000000,129266061,123.0,7.4,1049,Released,2007.0
August Rush,Drama,en,2007-11-21,29.533437,25000000,66122026,114.0,7.1,797,Released,2007.0
Beowulf,Adventure|Action|Animation,en,2007-11-05,35.601665,70000000,195735876,115.0,5.5,841,Released,2007.0
Diary of the Dead,Horror|Action|Science Fiction,en,2007-09-08,15.351412,2000000,5364858,95.0,5.4,190,Released,2007.0
Evan Almighty,Fantasy|Comedy|Family,en,2007-06-09,27.082182,175000000,173000000,96.0,5.3,1151,Released,2007.0
Funny Games,Horror|Thriller|Crime,en,2007-10-20,15.175289,15000000,7938872,112.0,6.3,545,Released,2007.0
Gracie,Drama,en,2007-06-01,2.365328,9000000,2955039,97.0,6.0,17,Released,2007.0
Harry Potter and the Order of the Phoenix,Adventure|Fantasy|Family|Mystery,en,2007-06-28,78.144395,150000000,938212738,138.0,7.4,5494,Released,2007.0
Hostel: Part II,Horror,en,2007-06-08,20.745052,10200000,35619521,93.0,5.6,453,Released,2007.0
Kiss the Bride,Drama|Comedy|Romance,en,2007-01-01,1.65426,0,0,100.0,4.2,11,Released,2007.0
Moliere,Romance|Drama|Comedy,fr,2007-01-31,4.61335,0,0,115.0,6.7,45,Released,2007.0
Mr. Bean's Holiday,Family|Comedy,en,2007-03-22,27.683874,25000000,229736344,90.0,6.1,663,Released,2007.0
No Reservations,Comedy,en,2007-07-25,15.794946,28000000,92601050,104.0,6.1,327,Released,2007.0
P.S. I Love You,Drama|Romance,en,2007-11-15,29.489274,30000000,156835339,126.0,6.9,977,Released,2007.0
Rendition,Drama|Thriller,en,2007-09-07,12.741073,27500000,24748670,120.0,6.2,205,Released,2007.0
"Run, Fatboy, Run",Comedy|Romance,en,2007-09-06,14.905357,10000000,33000000,100.0,6.2,238,Released,2007.0
Shotgun Stories,Drama|Thriller,en,2007-10-01,5.251143,0,0,92.0,6.9,57,Released,2007.0
Sicko,Documentary,en,2007-05-18,14.098952,9000000,24538513,123.0,7.3,235,Released,2007.0
Sublime,Horror|Thriller,en,2007-06-15,6.833164,0,0,113.0,5.3,33,Released,2007.0
Surf's Up,Animation|Comedy|Family,en,2007-06-08,23.230851,85000000,149044513,85.0,5.9,601,Released,2007.0
Ta Ra Rum Pum,Family|Comedy|Romance,hi,2007-04-27,0.553752,0,0,156.0,6.0,13,Released,2007.0
Taxi to the Dark Side,Documentary,en,2007-04-30,0.748565,1000000,274661,106.0,6.6,53,Released,2007.0
The Bourne Ultimatum,Action|Drama|Mystery|Thriller,en,2007-08-03,45.381501,70000000,442824138,115.0,7.3,2888,Released,2007.0
The Bucket List,Drama|Comedy,en,2007-12-25,31.305336,45000000,175372502,97.0,7.0,1111,Released,2007.0
The Company,Drama,en,2007-08-05,1.485324,0,0,276.0,7.0,12,Released,2007.0
The Diving Bell and the Butterfly,Drama,fr,2007-05-22,13.65494,14000000,19777647,112.0,7.4,283,Released,2007.0
The Game Plan,Comedy|Family,en,2007-09-28,20.699212,22000000,147880543,110.0,6.0,428,Released,2007.0
The Golden Compass,Adventure|Fantasy,en,2007-12-04,42.990906,180000000,372234864,113.0,5.8,1303,Released,2007.0
The Good Night,Comedy|Drama|Romance|Fantasy|Music,en,2007-01-25,12.185204,15000000,20380,93.0,5.7,41,Released,2007.0
The Kite Runner,Drama,en,2007-10-14,10.446722,20000000,73276047,128.0,7.3,394,Released,2007.0
The Man from Earth,Science Fiction|Drama,en,2007-06-10,31.339015,0,0,87.0,7.7,687,Released,2007.0
The Orphanage,Horror|Drama|Thriller,es,2007-08-27,29.071955,0,44000000,105.0,7.1,633,Released,2007.0
The Savages,Drama,en,2007-01-19,5.663889,0,0,114.0,6.8,110,Released,2007.0
Timber Falls,Horror|Thriller,en,2007-12-07,3.687574,2600000,0,97.0,5.2,38,Released,2007.0
Transformers,Adventure|Science Fiction|Action,en,2007-06-27,25.468493,150000000,709709780,144.0,6.6,4040,Released,2007.0
U2 3D,Music|Documentary,en,2007-05-19,0.335195,15000000,22730842,85.0,6.7,10,Released,2007.0
Virgin Territory,Adventure|Action|Comedy|Romance,en,2007-12-17,6.760922,38000000,5410749,93.0,4.3,75,Released,2007.0
We Own the Night,Drama|Crime|Thriller,en,2007-05-25,14.518708,21000000,54926886,117.0,6.5,323,Released,2007.0
Wild Hogs,Action|Adventure|Comedy,en,2007-03-02,31.719463,0,253625427,100.0,5.6,648,Released,2007.0
An American Carol,Comedy|Fantasy,en,2008-10-03,2.605374,20000000,7000000,83.0,4.1,20,Released,2008.0
Australia,Drama,en,2008-11-18,28.840997,130000000,49554002,165.0,6.3,694,Released,2008.0
Baby Mama,Comedy,en,2008-04-23,11.409124,30000000,63833449,99.0,5.8,205,Released,2008.0
Bedtime Stories,Fantasy|Comedy|Family|Romance,en,2008-12-24,23.531721,80000000,212874442,99.0,5.9,901,Released,2008.0
Beverly Hills Chihuahua,Adventure|Comedy|Family,en,2008-10-03,12.25264,20000000,149281606,91.0,4.9,209,Released,2008.0
City of Ember,Adventure|Family|Fantasy,en,2008-10-07,23.465539,55000000,17869048,90.0,6.2,605,Released,2008.0
Dolphins and Whales: Tribes of the Ocean,Documentary,en,2008-02-15,0.041651,6000000,7518876,42.0,8.0,3,Released,2008.0
Dragon Hunters,Animation|Family,fr,2008-03-19,8.884405,15000000,0,80.0,6.5,129,Released,2008.0
Flame & Citron,Crime|Drama|History|War,da,2008-03-25,7.028946,6500000,0,130.0,6.8,68,Released,2008.0
Flash of Genius,Drama,en,2008-09-07,3.350297,0,0,119.0,6.3,59,Released,2008.0
Fool's Gold,Romance|Comedy|Adventure,en,2008-02-07,21.789615,70000000,111231041,112.0,5.4,444,Released,2008.0
In Bruges,Comedy|Drama|Crime,en,2008-02-08,25.329493,15000000,34533783,107.0,7.4,1388,Released,2008.0
Iron Man,Action|Science Fiction|Adventure,en,2008-04-30,120.725053,140000000,585174222,126.0,7.4,8776,Released,2008.0
Mad Money,Action|Comedy|Crime,en,2008-01-17,6.847133,0,0,104.0,5.9,140,Released,2008.0
Madagascar: Escape 2 Africa,Family|Animation,en,2008-10-30,44.141021,150000000,603900354,89.0,6.2,1810,Released,2008.0
Max Payne,Action,en,2008-10-15,25.903237,35000000,85416905,100.0,5.2,613,Released,2008.0
Repo! The Genetic Opera,Horror|Comedy|Music|Science Fiction,en,2008-07-18,5.897479,0,188126,98.0,6.7,100,Released,2008.0
Slumdog Millionaire,Drama|Romance,en,2008-05-12,59.258969,15000000,377910544,120.0,7.6,2827,Released,2008.0
Snow Angels,Drama|Romance,en,2008-03-07,4.262374,0,414404,106.0,6.5,48,Released,2008.0
Stop-Loss,Drama|War,en,2008-03-28,4.002579,25000000,11207130,113.0,6.1,82,Released,2008.0
"Synecdoche, New York",Drama,en,2008-10-24,12.761176,21000000,0,124.0,7.4,278,Released,2008.0
The Children of Huang Shi,Drama|War,zh,2008-07-03,8.978408,40000000,7400000,125.0,6.5,52,Released,2008.0
The Class,Drama,fr,2008-09-24,13.437038,0,28814580,128.0,6.8,174,Released,2008.0
The Cottage,Horror|Comedy|Crime|Thriller,en,2008-02-07,8.39685,0,0,92.0,6.3,80,Released,2008.0
The Curious Case of Benjamin Button,Fantasy|Drama|Thriller|Mystery|Romance,en,2008-11-24,60.269279,150000000,333932083,166.0,7.3,3292,Released,2008.0
The Eye,Drama|Horror|Thriller,en,2008-02-01,11.135734,12000000,56309766,98.0,5.5,281,Released,2008.0
The Inhabited Island,Action|Fantasy|Science Fiction|Thriller,ru,2008-12-18,2.785832,36500000,21834845,115.0,5.3,23,Released,2008.0
The Lucky Ones,Comedy|Drama|History,en,2008-09-26,8.747922,0,0,113.0,6.3,55,Released,2008.0
The Secret Life of Bees,Adventure,en,2008-09-17,7.645979,11000000,38105395,114.0,7.4,158,Released,2008.0
The Tale of Despereaux,Adventure|Animation|Family,en,2008-12-19,16.493576,60000000,50877145,93.0,5.8,258,Released,2008.0
The Wackness,Drama,en,2008-07-03,7.161051,6000000,2899975,99.0,6.2,94,Released,2008.0
The Wave,Drama|Thriller,de,2008-03-11,25.281197,7500000,19000000,107.0,7.5,841,Released,2008.0
The X Files: I Want to Believe,Drama|Mystery|Science Fiction|Thriller,en,2008-07-24,25.454549,30000000,68369434,104.0,5.5,523,Released,2008.0
Three Kingdoms: Resurrection of the Dragon,Action|History|Drama,en,2008-04-03,4.127155,0,0,102.0,6.6,35,Released,2008.0
Train,Horror|Thriller,en,2008-10-16,3.280081,0,0,94.0,4.8,36,Released,2008.0
Untraceable,Drama,en,2008-01-22,12.677505,35000000,32483410,101.0,5.9,238,Released,2008.0
W.,Drama|History,en,2008-10-17,10.445391,25100000,29506464,131.0,6.1,143,Released,2008.0
Waltz with Bashir,Drama|Animation|War,he,2008-06-25,14.08251,2000000,11125849,90.0,7.8,291,Released,2008.0
"War, Inc.",Action|Adventure|Comedy|Thriller,en,2008-04-28,6.265659,5000000,1296184,106.0,5.6,86,Released,2008.0
Welcome to the Sticks,Comedy,fr,2008-01-09,18.923181,11000000,53191886,106.0,6.8,615,Released,2008.0
9,Action|Adventure|Animation|Science Fiction|Thriller,en,2009-08-19,55.806402,30000000,48428063,79.0,6.6,1262,Released,2009.0
A Shine of Rainbows,Drama|Family,en,2009-10-01,12.099486,6000000,0,101.0,6.3,14,Released,2009.0
"A Woman, a Gun and a Noodle Shop",Comedy|Drama|Thriller,zh,2009-12-11,1.416796,0,0,95.0,4.8,13,Released,2009.0
Adventureland,Comedy,en,2009-04-03,19.978021,9500000,17164377,107.0,6.4,737,Released,2009.0
All About Steve,Comedy,en,2009-09-04,13.237835,15000000,40105542,99.0,4.7,295,Released,2009.0
An Education,Drama|Romance,en,2009-10-29,16.990308,7500000,26096852,100.0,6.8,409,Released,2009.0
Bandslam,Comedy|Drama|Family|Music,en,2009-08-06,7.716606,20000000,5210988,111.0,5.4,126,Released,2009.0
Bran Nue Dae,Comedy|Drama|Foreign|Romance,en,2009-08-09,0.050456,7,7,82.0,5.2,6,Released,2009.0
Brooklyn's Finest,Crime|Drama|Thriller,en,2009-01-16,18.790102,17000000,29536299,133.0,6.2,293,Released,2009.0
Brüno,Comedy,en,2009-07-08,16.122168,42000000,0,83.0,5.4,518,Released,2009.0
Chicago Overcoat,Action|Crime|Thriller,en,2009-10-10,1.034844,3200000,0,95.0,6.1,5,Released,2009.0
Couples Retreat,Comedy|Romance,en,2009-09-19,26.676487,70000000,171844840,113.0,5.3,588,Released,2009.0
Dance Flick,Action|Comedy|Music,en,2009-05-22,7.326034,0,0,83.0,4.7,71,Released,2009.0
Dead Like Me: Life After Death,Drama|Fantasy|Comedy,en,2009-02-17,7.864905,0,0,87.0,5.8,65,Released,2009.0
Exam,Thriller|Mystery,en,2009-06-19,20.265518,0,0,101.0,6.6,523,Released,2009.0
Extract,Comedy,en,2009-09-03,14.652342,8000000,10848783,92.0,5.7,192,Released,2009.0
Gamer,Action|Thriller|Science Fiction,en,2009-09-03,27.631262,50000000,40828540,95.0,5.6,760,Released,2009.0
Harry Potter and the Half-Blood Prince,Adventure|Fantasy|Family,en,2009-07-07,98.885637,250000000,933959197,153.0,7.4,5293,Released,2009.0
He's Just Not That Into You,Comedy|Romance|Drama,en,2009-02-06,26.253357,40000000,177259441,129.0,6.2,959,Released,2009.0
I Can Do Bad All By Myself,Drama|Comedy,en,2009-09-11,2.242809,0,0,113.0,6.0,40,Released,2009.0
Law Abiding Citizen,Drama|Crime|Thriller,en,2009-10-15,49.593978,53000000,126690726,109.0,7.2,1486,Released,2009.0
Miss March,Comedy|Romance,en,2009-03-13,9.371534,0,0,89.0,5.4,77,Released,2009.0
Mother and Child,Drama|Romance,en,2009-11-07,5.517597,7000000,0,125.0,6.7,46,Released,2009.0
My Sister's Keeper,Drama,en,2009-06-26,24.09152,30000000,95714875,109.0,7.1,598,Released,2009.0
Not Easily Broken,Drama|Romance,en,2009-01-09,5.1299,0,0,99.0,6.3,9,Released,2009.0
Precious,Drama,en,2009-11-06,18.664624,10000000,47536959,110.0,6.9,417,Released,2009.0
Race to Witch Mountain,Adventure|Family|Fantasy|Science Fiction|Thriller|Action,en,2009-03-12,23.935053,50000000,106303988,98.0,5.5,509,Released,2009.0
Rampage,Action|Drama|Crime|Thriller,en,2009-08-14,7.101197,0,0,85.0,6.0,131,Released,2009.0
Sherlock Holmes,Action|Adventure|Crime|Mystery,en,2009-12-23,57.834787,90000000,524028679,128.0,7.0,5766,Released,2009.0
Sorority Row,Horror|Mystery|Thriller,en,2009-09-09,8.780512,12500000,27206120,101.0,5.4,177,Released,2009.0
Starsuckers,Documentary|Foreign,en,2009-09-30,0.429083,0,0,103.0,6.2,5,Released,2009.0
Street Fighter: The Legend of Chun-Li,Action|Adventure|Science Fiction|Thriller,en,2009-02-27,8.139676,50000000,12764201,97.0,3.9,112,Released,2009.0
Taking Woodstock,Music|Comedy|Drama,en,2009-09-03,11.870161,0,0,120.0,6.2,127,Released,2009.0
Terminator Salvation,Action|Science Fiction|Thriller,en,2009-05-20,71.862892,200000000,371353001,115.0,5.9,2463,Released,2009.0
The Blind Side,Drama,en,2009-11-20,25.767395,29000000,309208309,129.0,7.2,1597,Released,2009.0
The Cry of the Owl,Drama,en,2009-02-07,4.75919,11500000,0,101.0,5.5,29,Released,2009.0
The Fourth Kind,Mystery|Science Fiction|Thriller,en,2009-11-06,22.888173,10000000,42333295,98.0,5.8,441,Released,2009.0
